UF = 11 - Rondônia
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;Analfabeto;36;26;22;43;26;46;22;18;35;274;36;26;22;43;26;46;22;18;35;274
;Até 5ª Incompleto;281;209;119;187;272;482;356;531;487;2924;281;209;119;187;272;482;356;531;487;2924
;Doutorado;21;17;42;38;5;7;32;202;306;670;21;17;42;38;5;7;32;202;306;670
;Fundamental Completo;2786;1286;1175;1926;1542;2328;2155;3587;3247;20032;2786;1286;1175;1926;1542;2328;2155;3587;3247;20032
;Mestrado;34;31;41;50;29;40;49;219;844;1337;34;31;41;50;29;40;49;219;844;1337
;Médio Completo;54566;19926;18237;20261;16645;24419;29156;47341;45225;275776;54566;19926;18237;20261;16645;24419;29156;47341;45225;275776
;Médio Incompleto;3004;974;957;1271;1151;1298;1535;2236;2064;14490;3004;974;957;1271;1151;1298;1535;2236;2064;14490
;Superior Completo;11278;7300;8073;10535;7853;9911;11395;22426;22823;111594;11278;7300;8073;10535;7853;9911;11395;22426;22823;111594
;Superior Incompleto;6149;2403;2320;2573;1962;2124;2361;3950;2427;26269;6149;2403;2320;2573;1962;2124;2361;3950;2427;26269
UF = 43 - Rio Grande do Sul
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;15822;5135;6064;8717;7192;12073;15486;21592;58473;150554;15822;5135;6064;8717;7192;12073;15486;21592;58473;150554
;5ª Completo Fundamental;97;53;58;87;80;175;130;122;273;1075;97;53;58;87;80;175;130;122;273;1075
;6ª a 9ª Fundamental;245;129;133;258;268;516;561;795;1491;4396;245;129;133;258;268;516;561;795;1491;4396
;Analfabeto;2;1;3;3;3;6;4;3;5;30;2;1;3;3;3;6;4;3;5;30
;Até 5ª Incompleto;60;31;36;50;54;125;88;82;300;826;60;31;36;50;54;125;88;82;300;826
;Doutorado;2;3;2;7;3;2;10;13;186;228;2;3;2;7;3;2;10;13;186;228
;Fundamental Completo;676;212;204;403;315;736;912;1463;3245;8166;676;212;204;403;315;736;912;1463;3245;8166
;Mestrado;10;3;5;12;10;23;25;74;489;651;10;3;5;12;10;23;25;74;489;651
;Médio Completo;11347;3186;3719;4956;4038;6847;9131;12440;33667;89331;11347;3186;3719;4956;4038;6847;9131;12440;33667;89331
;Médio Incompleto;737;236;266;322;300;502;592;827;1935;5717;737;236;266;322;300;502;592;827;1935;5717
;Superior Completo;1341;883;1190;2095;1671;2590;3329;4748;14422;32269;1341;883;1190;2095;1671;2590;3329;4748;14422;32269
;Superior Incompleto;1305;398;448;524;450;551;704;1025;2460;7865;1305;398;448;524;450;551;704;1025;2460;7865
2016;Total;15921;5213;6155;8541;7132;11669;16657;20450;57996;149734;15921;5213;6155;8541;7132;11669;16657;20450;57996;149734
;5ª Completo Fundamental;85;54;58;81;74;153;133;111;284;1033;85;54;58;81;74;153;133;111;284;1033
;6ª a 9ª Fundamental;249;118;114;264;233;482;588;719;1544;4311;249;118;114;264;233;482;588;719;1544;4311
;Analfabeto;3;0;4;2;3;5;7;2;10;36;3;0;4;2;3;5;7;2;10;36
;Até 5ª Incompleto;48;23;45;57;40;113;103;72;308;809;48;23;45;57;40;113;103;72;308;809
;Doutorado;1;3;2;10;4;4;10;10;222;266;1;3;2;10;4;4;10;10;222;266
;Fundamental Completo;649;215;185;362;315;646;928;1305;3184;7789;649;215;185;362;315;646;928;1305;3184;7789
;Mestrado;12;2;10;20;7;45;20;86;526;728;12;2;10;20;7;45;20;86;526;728
;Médio Completo;11352;3215;3763;4786;3917;6738;9638;12121;33649;89179;11352;3215;3763;4786;3917;6738;9638;12121;33649;89179
;Médio Incompleto;678;229;256;311;291;469;660;752;1895;5541;678;229;256;311;291;469;660;752;1895;5541
;Superior Completo;1429;936;1262;2141;1804;2444;3867;4237;14143;32263;1429;936;1262;2141;1804;2444;3867;4237;14143;32263
;Superior Incompleto;1415;418;456;507;444;570;703;1035;2231;7779;1415;418;456;507;444;570;703;1035;2231;7779
2017;Total;15869;5394;6012;8701;7810;12292;17372;18256;62083;153789;15869;5394;6012;8701;7810;12292;17372;18256;62083;153789
;5ª Completo Fundamental;87;43;38;77;76;142;130;93;282;968;87;43;38;77;76;142;130;93;282;968
;6ª a 9ª Fundamental;220;124;107;230;243;444;569;625;1500;4062;220;124;107;230;243;444;569;625;1500;4062
;Analfabeto;2;2;3;4;2;5;5;2;8;33;2;2;3;4;2;5;5;2;8;33
;Até 5ª Incompleto;50;23;48;52;37;118;100;65;275;768;50;23;48;52;37;118;100;65;275;768
;Doutorado;2;4;2;6;14;4;22;17;273;344;2;4;2;6;14;4;22;17;273;344
;Fundamental Completo;561;223;197;344;320;595;922;1142;3251;7555;561;223;197;344;320;595;922;1142;3251;7555
;Mestrado;11;6;15;17;44;43;68;104;721;1029;11;6;15;17;44;43;68;104;721;1029
;Médio Completo;11276;3269;3563;4939;4161;7033;10216;10790;36091;91338;11276;3269;3563;4939;4161;7033;10216;10790;36091;91338
;Médio Incompleto;639;210;244;328;299;443;646;660;1906;5375;639;210;244;328;299;443;646;660;1906;5375
;Superior Completo;1584;1077;1334;2180;2106;2827;3902;3872;15345;34227;1584;1077;1334;2180;2106;2827;3902;3872;15345;34227
;Superior Incompleto;1437;413;461;524;508;638;792;886;2431;8090;1437;413;461;524;508;638;792;886;2431;8090
2018;Total;16159;5381;6567;8690;7389;12701;16593;20318;61780;155578;16159;5381;6567;8690;7389;12701;16593;20318;61780;155578
;5ª Completo Fundamental;89;40;44;64;83;124;110;108;253;915;89;40;44;64;83;124;110;108;253;915
;6ª a 9ª Fundamental;232;119;93;214;225;372;498;658;1393;3804;232;119;93;214;225;372;498;658;1393;3804
;Analfabeto;3;1;3;4;4;6;5;1;5;32;3;1;3;4;4;6;5;1;5;32
;Até 5ª Incompleto;46;28;43;49;62;120;96;81;287;812;46;28;43;49;62;120;96;81;287;812
;Doutorado;1;5;1;10;5;7;20;83;300;432;1;5;1;10;5;7;20;83;300;432
;Fundamental Completo;509;198;186;334;316;533;824;1138;2926;6964;509;198;186;334;316;533;824;1138;2926;6964
;Mestrado;11;8;19;18;19;57;59;237;643;1071;11;8;19;18;19;57;59;237;643;1071
;Médio Completo;11252;3242;3879;4904;4013;7106;9963;11455;35985;91799;11252;3242;3879;4904;4013;7106;9963;11455;35985;91799
;Médio Incompleto;606;211;233;285;267;418;582;697;1706;5005;606;211;233;285;267;418;582;697;1706;5005
;Superior Completo;1831;1095;1559;2239;1992;3238;3665;4821;15983;36423;1831;1095;1559;2239;1992;3238;3665;4821;15983;36423
;Superior Incompleto;1579;434;507;569;403;720;771;1039;2299;8321;1579;434;507;569;403;720;771;1039;2299;8321
2019;Total;16417;5877;6252;8796;7635;12694;16763;19539;60793;154766;16417;5877;6252;8796;7635;12694;16763;19539;60793;154766
;5ª Completo Fundamental;88;26;34;65;78;96;110;105;245;847;88;26;34;65;78;96;110;105;245;847
;6ª a 9ª Fundamental;204;98;79;224;206;377;455;485;1314;3442;204;98;79;224;206;377;455;485;1314;3442
;Analfabeto;3;1;3;4;3;4;4;3;6;31;3;1;3;4;3;4;4;3;6;31
;Até 5ª Incompleto;51;29;33;54;54;115;96;76;265;773;51;29;33;54;54;115;96;76;265;773
;Doutorado;1;6;2;10;4;2;24;78;327;454;1;6;2;10;4;2;24;78;327;454
;Fundamental Completo;507;184;160;311;302;546;701;1008;2725;6444;507;184;160;311;302;546;701;1008;2725;6444
;Mestrado;14;5;21;23;19;38;68;244;709;1141;14;5;21;23;19;38;68;244;709;1141
;Médio Completo;11389;3544;3669;4880;4134;7183;10079;11269;35833;91980;11389;3544;3669;4880;4134;7183;10079;11269;35833;91980
;Médio Incompleto;602;210;220;282;278;433;598;628;1720;4971;602;210;220;282;278;433;598;628;1720;4971
;Superior Completo;1994;1288;1558;2354;2090;3265;3882;4650;15493;36574;1994;1288;1558;2354;2090;3265;3882;4650;15493;36574
;Superior Incompleto;1564;486;473;589;467;635;746;993;2156;8109;1564;486;473;589;467;635;746;993;2156;8109
2020;Total;16163;5905;6177;9261;7399;13194;15405;18192;66919;158615;16163;5905;6177;9261;7399;13194;15405;18192;66919;158615
;5ª Completo Fundamental;74;23;30;60;74;92;95;86;234;768;74;23;30;60;74;92;95;86;234;768
;6ª a 9ª Fundamental;187;89;84;202;203;322;393;440;1243;3163;187;89;84;202;203;322;393;440;1243;3163
;Analfabeto;5;2;2;5;7;5;3;4;12;45;5;2;2;5;7;5;3;4;12;45
;Até 5ª Incompleto;59;26;27;49;50;117;80;74;251;733;59;26;27;49;50;117;80;74;251;733
;Doutorado;5;5;6;14;6;3;22;82;353;496;5;5;6;14;6;3;22;82;353;496
;Fundamental Completo;434;155;166;294;269;578;590;816;2787;6089;434;155;166;294;269;578;590;816;2787;6089
;Mestrado;16;12;17;26;26;45;69;214;772;1197;16;12;17;26;26;45;69;214;772;1197
;Médio Completo;11177;3644;3590;5118;4135;7760;9257;10832;39098;94611;11177;3644;3590;5118;4135;7760;9257;10832;39098;94611
;Médio Incompleto;523;207;216;295;266;413;498;611;1612;4641;523;207;216;295;266;413;498;611;1612;4641
;Superior Completo;2083;1227;1551;2538;1918;3277;3755;4196;18408;38953;2083;1227;1551;2538;1918;3277;3755;4196;18408;38953
;Superior Incompleto;1600;515;488;660;445;582;643;837;2149;7919;1600;515;488;660;445;582;643;837;2149;7919
2021;Total;17035;6731;6689;9318;8354;13490;16007;21339;69372;168335;17035;6731;6689;9318;8354;13490;16007;21339;69372;168335
;5ª Completo Fundamental;73;32;26;47;78;85;87;90;228;746;73;32;26;47;78;85;87;90;228;746
;6ª a 9ª Fundamental;180;96;81;172;198;307;375;431;1076;2916;180;96;81;172;198;307;375;431;1076;2916
;Analfabeto;7;5;3;4;4;6;5;4;11;49;7;5;3;4;4;6;5;4;11;49
;Até 5ª Incompleto;48;24;30;38;48;117;88;92;266;751;48;24;30;38;48;117;88;92;266;751
;Doutorado;6;4;14;14;1;5;27;86;368;525;6;4;14;14;1;5;27;86;368;525
;Fundamental Completo;421;149;163;290;285;548;570;927;2793;6146;421;149;163;290;285;548;570;927;2793;6146
;Mestrado;16;11;21;26;25;38;81;254;851;1323;16;11;21;26;25;38;81;254;851;1323
;Médio Completo;11692;4184;3942;5254;4657;7974;9695;12722;41657;101777;11692;4184;3942;5254;4657;7974;9695;12722;41657;101777
;Médio Incompleto;543;230;246;322;285;449;488;648;1667;4878;543;230;246;322;285;449;488;648;1667;4878
;Superior Completo;2339;1365;1614;2503;2257;3346;3914;5071;18178;40587;2339;1365;1614;2503;2257;3346;3914;5071;18178;40587
;Superior Incompleto;1710;631;549;648;516;615;677;1014;2277;8637;1710;631;549;648;516;615;677;1014;2277;8637
Total;Total;113386;39636;43916;62024;52911;88113;114283;139686;437416;1091371;113386;39636;43916;62024;52911;88113;114283;139686;437416;1091371
;5ª Completo Fundamental;593;271;288;481;543;867;795;715;1799;6352;593;271;288;481;543;867;795;715;1799;6352
;6ª a 9ª Fundamental;1517;773;691;1564;1576;2820;3439;4153;9561;26094;1517;773;691;1564;1576;2820;3439;4153;9561;26094
;Analfabeto;25;12;21;26;26;37;33;19;57;256;25;12;21;26;26;37;33;19;57;256
;Até 5ª Incompleto;362;184;262;349;345;825;651;542;1952;5472;362;184;262;349;345;825;651;542;1952;5472
;Doutorado;18;30;29;71;37;27;135;369;2029;2745;18;30;29;71;37;27;135;369;2029;2745
;Fundamental Completo;3757;1336;1261;2338;2122;4182;5447;7799;20911;49153;3757;1336;1261;2338;2122;4182;5447;7799;20911;49153
;Mestrado;90;47;108;142;150;289;390;1213;4711;7140;90;47;108;142;150;289;390;1213;4711;7140
;Médio Completo;79485;24284;26125;34837;29055;50641;67979;81629;255980;650015;79485;24284;26125;34837;29055;50641;67979;81629;255980;650015
;Médio Incompleto;4328;1533;1681;2145;1986;3127;4064;4823;12441;36128;4328;1533;1681;2145;1986;3127;4064;4823;12441;36128
;Superior Completo;12601;7871;10068;16050;13838;20987;26314;31595;111972;251296;12601;7871;10068;16050;13838;20987;26314;31595;111972;251296
;Superior Incompleto;10610;3295;3382;4021;3233;4311;5036;6829;16003;56720;10610;3295;3382;4021;3233;4311;5036;6829;16003;56720
UF = 50 - Mato Grosso do Sul
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;3087;1463;1233;1947;2139;1982;2744;3539;7010;25144;3087;1463;1233;1947;2139;1982;2744;3539;7010;25144
;5ª Completo Fundamental;37;18;11;27;24;17;16;35;40;225;37;18;11;27;24;17;16;35;40;225
;6ª a 9ª Fundamental;82;42;26;56;33;74;120;189;223;845;82;42;26;56;33;74;120;189;223;845
;Analfabeto;3;1;2;0;2;1;0;1;1;11;3;1;2;0;2;1;0;1;1;11
;Até 5ª Incompleto;31;8;7;17;8;29;21;22;47;190;31;8;7;17;8;29;21;22;47;190
;Doutorado;1;1;0;0;0;6;1;5;32;46;1;1;0;0;0;6;1;5;32;46
;Fundamental Completo;214;111;58;98;87;153;183;140;698;1742;214;111;58;98;87;153;183;140;698;1742
;Mestrado;0;0;3;2;0;0;0;5;50;60;0;0;3;2;0;0;0;5;50;60
;Médio Completo;2052;855;727;1126;1366;1109;1577;2000;3547;14359;2052;855;727;1126;1366;1109;1577;2000;3547;14359
;Médio Incompleto;243;79;64;95;96;116;232;198;153;1276;243;79;64;95;96;116;232;198;153;1276
;Superior Completo;254;262;264;434;434;354;495;762;1783;5042;254;262;264;434;434;354;495;762;1783;5042
;Superior Incompleto;170;86;71;92;89;123;99;182;436;1348;170;86;71;92;89;123;99;182;436;1348
2016;Total;3240;1429;1288;2223;1993;1951;3206;3588;5427;24345;3240;1429;1288;2223;1993;1951;3206;3588;5427;24345
;5ª Completo Fundamental;33;10;12;27;18;18;20;27;38;203;33;10;12;27;18;18;20;27;38;203
;6ª a 9ª Fundamental;77;42;30;70;29;68;123;169;214;822;77;42;30;70;29;68;123;169;214;822
;Analfabeto;0;2;1;1;0;3;0;0;1;8;0;2;1;1;0;3;0;0;1;8
;Até 5ª Incompleto;25;7;7;13;14;29;22;21;39;177;25;7;7;13;14;29;22;21;39;177
;Doutorado;0;1;0;0;0;0;2;4;27;34;0;1;0;0;0;0;2;4;27;34
;Fundamental Completo;208;83;62;107;80;118;188;150;188;1184;208;83;62;107;80;118;188;150;188;1184
;Mestrado;0;2;6;2;0;0;1;5;43;59;0;2;6;2;0;0;1;5;43;59
;Médio Completo;2182;857;746;1288;1302;1137;1865;2041;2493;13911;2182;857;746;1288;1302;1137;1865;2041;2493;13911
;Médio Incompleto;242;72;61;119;70;121;249;174;171;1279;242;72;61;119;70;121;249;174;171;1279
;Superior Completo;305;279;275;482;390;380;620;816;1746;5293;305;279;275;482;390;380;620;816;1746;5293
;Superior Incompleto;168;74;88;114;90;77;116;181;467;1375;168;74;88;114;90;77;116;181;467;1375
2017;Total;3424;1407;1139;2319;2114;2145;4134;3215;5405;25302;3424;1407;1139;2319;2114;2145;4134;3215;5405;25302
;5ª Completo Fundamental;26;11;8;24;10;18;31;24;32;184;26;11;8;24;10;18;31;24;32;184
;6ª a 9ª Fundamental;65;32;21;59;28;66;153;136;191;751;65;32;21;59;28;66;153;136;191;751
;Analfabeto;2;1;1;1;0;2;1;0;1;9;2;1;1;1;0;2;1;0;1;9
;Até 5ª Incompleto;26;6;7;15;11;31;23;16;37;172;26;6;7;15;11;31;23;16;37;172
;Doutorado;0;1;0;0;1;5;1;3;30;41;0;1;0;0;1;5;1;3;30;41
;Fundamental Completo;198;65;60;108;83;161;195;115;166;1151;198;65;60;108;83;161;195;115;166;1151
;Mestrado;0;0;3;2;6;0;3;2;43;59;0;0;3;2;6;0;3;2;43;59
;Médio Completo;2310;836;679;1310;1393;1237;2406;1848;2418;14437;2310;836;679;1310;1393;1237;2406;1848;2418;14437
;Médio Incompleto;234;84;42;101;70;101;280;136;182;1230;234;84;42;101;70;101;280;136;182;1230
;Superior Completo;349;302;239;568;407;407;873;787;1839;5771;349;302;239;568;407;407;873;787;1839;5771
;Superior Incompleto;214;69;79;131;105;117;168;148;466;1497;214;69;79;131;105;117;168;148;466;1497
2018;Total;3506;1606;1309;2259;2014;2408;4174;3930;5708;26914;3506;1606;1309;2259;2014;2408;4174;3930;5708;26914
;5ª Completo Fundamental;26;9;10;13;3;28;24;21;23;157;26;9;10;13;3;28;24;21;23;157
;6ª a 9ª Fundamental;71;35;22;58;15;66;149;128;150;694;71;35;22;58;15;66;149;128;150;694
;Analfabeto;0;1;1;1;0;1;1;0;0;5;0;1;1;1;0;1;1;0;0;5
;Até 5ª Incompleto;27;6;7;16;13;36;28;17;32;182;27;6;7;16;13;36;28;17;32;182
;Doutorado;0;1;0;0;0;4;1;6;28;40;0;1;0;0;0;4;1;6;28;40
;Fundamental Completo;175;79;46;107;59;156;198;126;155;1101;175;79;46;107;59;156;198;126;155;1101
;Mestrado;0;2;0;11;0;0;2;7;45;67;0;2;0;11;0;0;2;7;45;67
;Médio Completo;2375;931;771;1234;1326;1372;2439;2216;2564;15228;2375;931;771;1234;1326;1372;2439;2216;2564;15228
;Médio Incompleto;207;73;49;82;71;110;287;146;157;1182;207;73;49;82;71;110;287;146;157;1182
;Superior Completo;402;369;301;600;420;507;867;1060;2133;6659;402;369;301;600;420;507;867;1060;2133;6659
;Superior Incompleto;223;100;102;137;107;128;178;203;421;1599;223;100;102;137;107;128;178;203;421;1599
2019;Total;3640;1715;1418;2196;1771;2637;4057;4612;10437;32483;3640;1715;1418;2196;1771;2637;4057;4612;10437;32483
;5ª Completo Fundamental;26;11;10;18;1;19;33;20;132;270;26;11;10;18;1;19;33;20;132;270
;6ª a 9ª Fundamental;69;34;15;49;15;69;146;110;326;833;69;34;15;49;15;69;146;110;326;833
;Analfabeto;2;4;1;2;0;1;4;2;2;18;2;4;1;2;0;1;4;2;2;18
;Até 5ª Incompleto;37;8;4;17;9;32;31;12;226;376;37;8;4;17;9;32;31;12;226;376
;Doutorado;0;0;0;0;0;1;1;2;30;34;0;0;0;0;0;1;1;2;30;34
;Fundamental Completo;164;78;45;99;50;129;184;119;1317;2185;164;78;45;99;50;129;184;119;1317;2185
;Mestrado;0;1;0;3;0;1;3;9;44;61;0;1;0;3;0;1;3;9;44;61
;Médio Completo;2461;1031;835;1162;1166;1604;2367;2642;4562;17830;2461;1031;835;1162;1166;1604;2367;2642;4562;17830
;Médio Incompleto;199;80;42;94;70;119;268;145;262;1279;199;80;42;94;70;119;268;145;262;1279
;Superior Completo;428;359;337;631;373;541;850;1290;3121;7930;428;359;337;631;373;541;850;1290;3121;7930
;Superior Incompleto;254;109;129;121;87;121;170;261;415;1667;254;109;129;121;87;121;170;261;415;1667
2020;Total;3794;1808;1424;1982;2152;2334;4407;5642;10988;34531;3794;1808;1424;1982;2152;2334;4407;5642;10988;34531
;5ª Completo Fundamental;28;11;9;21;7;15;30;19;130;270;28;11;9;21;7;15;30;19;130;270
;6ª a 9ª Fundamental;66;25;17;45;21;40;142;128;323;807;66;25;17;45;21;40;142;128;323;807
;Analfabeto;3;3;2;1;0;1;11;3;3;27;3;3;2;1;0;1;11;3;3;27
;Até 5ª Incompleto;27;11;5;16;14;25;35;15;226;374;27;11;5;16;14;25;35;15;226;374
;Doutorado;1;0;1;0;0;4;2;2;31;41;1;0;1;0;0;4;2;2;31;41
;Fundamental Completo;158;71;41;79;68;104;188;147;1304;2160;158;71;41;79;68;104;188;147;1304;2160
;Mestrado;1;2;1;4;0;1;0;8;41;58;1;2;1;4;0;1;0;8;41;58
;Médio Completo;2575;1137;806;1054;1354;1427;2566;3374;4925;19218;2575;1137;806;1054;1354;1427;2566;3374;4925;19218
;Médio Incompleto;177;73;40;81;74;82;237;160;259;1183;177;73;40;81;74;82;237;160;259;1183
;Superior Completo;483;371;382;560;508;518;1018;1514;3323;8677;483;371;382;560;508;518;1018;1514;3323;8677
;Superior Incompleto;275;104;120;121;106;117;178;272;423;1716;275;104;120;121;106;117;178;272;423;1716
2021;Total;4027;2052;1673;2566;2012;2647;4031;6102;11149;36259;4027;2052;1673;2566;2012;2647;4031;6102;11149;36259
;5ª Completo Fundamental;27;12;9;20;1;16;33;22;123;263;27;12;9;20;1;16;33;22;123;263
;6ª a 9ª Fundamental;69;23;23;49;16;45;121;121;326;793;69;23;23;49;16;45;121;121;326;793
;Analfabeto;5;4;1;2;0;4;7;2;4;29;5;4;1;2;0;4;7;2;4;29
;Até 5ª Incompleto;28;13;5;22;10;26;29;15;220;368;28;13;5;22;10;26;29;15;220;368
;Doutorado;0;0;1;0;0;3;1;2;37;44;0;0;1;0;0;3;1;2;37;44
;Fundamental Completo;169;73;33;68;78;115;156;145;1265;2102;169;73;33;68;78;115;156;145;1265;2102
;Mestrado;2;2;3;5;1;2;0;10;58;83;2;2;3;5;1;2;0;10;58;83
;Médio Completo;2775;1304;979;1345;1293;1603;2307;3677;5078;20361;2775;1304;979;1345;1293;1603;2307;3677;5078;20361
;Médio Incompleto;179;83;49;104;66;111;222;162;242;1218;179;83;49;104;66;111;222;162;242;1218
;Superior Completo;510;397;448;740;484;599;973;1683;3403;9237;510;397;448;740;484;599;973;1683;3403;9237
;Superior Incompleto;263;141;122;211;63;123;182;263;393;1761;263;141;122;211;63;123;182;263;393;1761
Total;Total;24718;11480;9484;15492;14195;16104;26753;30628;56124;204978;24718;11480;9484;15492;14195;16104;26753;30628;56124;204978
;5ª Completo Fundamental;203;82;69;150;64;131;187;168;518;1572;203;82;69;150;64;131;187;168;518;1572
;6ª a 9ª Fundamental;499;233;154;386;157;428;954;981;1753;5545;499;233;154;386;157;428;954;981;1753;5545
;Analfabeto;15;16;9;8;2;13;24;8;12;107;15;16;9;8;2;13;24;8;12;107
;Até 5ª Incompleto;201;59;42;116;79;208;189;118;827;1839;201;59;42;116;79;208;189;118;827;1839
;Doutorado;2;4;2;0;1;23;9;24;215;280;2;4;2;0;1;23;9;24;215;280
;Fundamental Completo;1286;560;345;666;505;936;1292;942;5093;11625;1286;560;345;666;505;936;1292;942;5093;11625
;Mestrado;3;9;16;29;7;4;9;46;324;447;3;9;16;29;7;4;9;46;324;447
;Médio Completo;16730;6951;5543;8519;9200;9489;15527;17798;25587;115344;16730;6951;5543;8519;9200;9489;15527;17798;25587;115344
;Médio Incompleto;1481;544;347;676;517;760;1775;1121;1426;8647;1481;544;347;676;517;760;1775;1121;1426;8647
;Superior Completo;2731;2339;2246;4015;3016;3306;5696;7912;17348;48609;2731;2339;2246;4015;3016;3306;5696;7912;17348;48609
;Superior Incompleto;1567;683;711;927;647;806;1091;1510;3021;10963;1567;683;711;927;647;806;1091;1510;3021;10963
UF = 51 - Mato Grosso
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;3918;1669;1494;2809;2257;1137;4847;3359;0;21490;3918;1669;1494;2809;2257;1137;4847;3359;0;21490
;5ª Completo Fundamental;23;11;11;20;17;11;18;28;0;139;23;11;11;20;17;11;18;28;0;139
;6ª a 9ª Fundamental;65;22;32;72;26;28;114;123;0;482;65;22;32;72;26;28;114;123;0;482
;Analfabeto;2;1;1;4;2;3;3;0;0;16;2;1;1;4;2;3;3;0;0;16
;Até 5ª Incompleto;31;8;5;28;12;17;49;37;0;187;31;8;5;28;12;17;49;37;0;187
;Doutorado;1;0;0;1;1;1;2;1;0;7;1;0;0;1;1;1;2;1;0;7
;Fundamental Completo;174;62;41;79;109;29;204;171;0;869;174;62;41;79;109;29;204;171;0;869
;Mestrado;2;0;0;0;6;2;9;0;0;19;2;0;0;0;6;2;9;0;0;19
;Médio Completo;2716;1033;879;1617;1455;663;2969;2082;0;13414;2716;1033;879;1617;1455;663;2969;2082;0;13414
;Médio Incompleto;240;115;63;121;97;98;227;231;0;1192;240;115;63;121;97;98;227;231;0;1192
;Superior Completo;421;307;340;700;427;230;1085;581;0;4091;421;307;340;700;427;230;1085;581;0;4091
;Superior Incompleto;243;110;122;167;105;55;167;105;0;1074;243;110;122;167;105;55;167;105;0;1074
